RANG;A;A;B;B;1;2;3;3BIS;4;5;6;7;7;7BIS;8;9;10;11;12;13;13;14
1;CERGY LE HAUT;SAINT-GERMAIN-EN-LAYE;GARE DU NORD-RER;GARE DU NORD-RER;LA DEFENSE;PORTE DAUPHINE;PONT DE LEVALLOIS-BECON;PORTE DES LILAS;PORTE DE CLIGNANCOURT;BOBIGNY-PABLO PICASSO;CHARLES DE GAULLE-ETOILE;LA COURNEUVE-8 MAI 1945;LA COURNEUVE-8 MAI 1945;LOUIS BLANC;BALARD;PONT DE SEVRES;GARE D'AUSTERLITZ;CHATELET;FRONT POPULAIRE;CHATILLON-MONTROUGE;CHATILLON-MONTROUGE;SAINT-LAZARE
2;CERGY SAINT-CHRISTOPHE;LE VESINET-LE PECQ;CHATELET-LES HALLES-RER;CHATELET-LES HALLES-RER;ESPLANADE DE LA DEFENSE;VICTOR HUGO;ANATOLE FRANCE;SAINT-FARGEAU;SIMPLON;BOBIGNY-PANTIN-RAYMOND QUENEAU;KLEBER;FORT D'AUBERVILLIERS;FORT D'AUBERVILLIERS;JAURES;LOURMEL;BILLANCOURT;JUSSIEU;HOTEL DE VILLE;PORTE DE LA CHAPELLE;MALAKOFF-RUE ETIENNE DOLET;MALAKOFF-RUE ETIENNE DOLET;MADELEINE
3;CERGY PREFECTURE;LE VESINET-CENTRE;SAINT-MICHEL-NOTRE-DAME;SAINT-MICHEL-NOTRE-DAME;PONT DE NEUILLY;CHARLES DE GAULLE-ETOILE;LOUISE MICHEL;PELLEPORT;MARCADET-POISSONNIERS;EGLISE DE PANTIN;BOISSIERE;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;BOLIVAR;BOUCICAUT;MARCEL SEMBAT;CARDINAL LEMOINE;RAMBUTEAU;MARX DORMOY;MALAKOFF-PLATEAU DE VANVES;MALAKOFF-PLATEAU DE VANVES;PYRAMIDES
4;NEUVILLE UNIVERSITE;CHATOU-CROISSY;LUXEMBOURG;LUXEMBOURG;LES SABLONS;TERNES;PORTE DE CHAMPERRET;GAMBETTA;CHATEAU ROUGE;PORTE DE PANTIN;TROCADERO;PORTE DE LA VILLETTE;PORTE DE LA VILLETTE;BUTTES-CHAUMONT;FELIX FAURE;PORTE DE SAINT-CLOUD;MAUBERT-MUTUALITE;ARTS ET METIERS;MARCADET-POISSONNIERS;PORTE DE VANVES;PORTE DE VANVES;CHATELET
5;CONFLANS FIN D’OISE ;RUEIL-MALMAISON;PORT ROYAL;PORT ROYAL;PORTE MAILLOT;COURCELLES;PEREIRE;;BARBES-ROCHECHOUART;OURCQ;PASSY;CORENTIN CARIOU;CORENTIN CARIOU;BOTZARIS;COMMERCE;EXELMANS;CLUNY LA SORBONNE;REPUBLIQUE;JULES JOFFRIN;PLAISANCE;PLAISANCE;GARE DE LYON
6;ACHÈRES VILLE;NANTERRE-VILLE;DENFERT-ROCHEREAU-RER;DENFERT-ROCHEREAU-RER;ARGENTINE;MONCEAU;WAGRAM;;GARE DU NORD;LAUMIERE;BIR-HAKEIM;CRIMEE;CRIMEE;PLACE DES FETES;LA MOTTE-PICQUET-GRENELLE;MICHEL-ANGE-MOLITOR;ODEON;GONCOURT;LAMARCK-CAULAINCOURT;PERNETY;PERNETY;BERCY
7;MAISONS LAFFITTE;NANTERRE-UNIVERSITE;CITE UNIVERSITAIRE;CITE UNIVERSITAIRE;CHARLES DE GAULLE-ETOILE;VILLIERS;MALESHERBES;;GARE DE L’EST;JAURES;DUPLEIX;RIQUET;RIQUET;PRE-SAINT-GERVAIS;ECOLE MILITAIRE;MICHEL-ANGE-AUTEUIL;MABILLON;BELLEVILLE;ABBESSES;GAITE;GAITE;COUR SAINT-EMILION
8;SARTROUVILLE;NANTERRE-PREFECTURE;GENTILLY;GENTILLY;GEORGE V;ROME;VILLIERS;;CHATEAU D'EAU;STALINGRAD;LA MOTTE-PICQUET-GRENELLE;STALINGRAD;STALINGRAD;DANUBE;LA TOUR-MAUBOURG;JASMIN;SEVRES-BABYLONE;PYRENEES;PIGALLE;MONTPARNASSE-BIENVENUE;MONTPARNASSE-BIENVENUE;BIBLIOTHEQUE
9;HOUILLES CARRIERES SUR SEINE ;LA DEFENSE-RER;LAPLACE;LAPLACE;FRANKLIN D. ROOSEVELT;PLACE CLICHY;EUROPE;;STRASBOURG-SAINT-DENIS;GARE DU NORD;CAMBRONNE;LOUIS BLANC;LOUIS BLANC;BOTZARIS;INVALIDES;RANELAGH;VANEAU;JOURDAIN;SAINT-GEORGES;DUROC;DUROC;OLYMPIADES
10;NANTERRE-PREFECTURE;CHARLES DE GAULLE-ETOILE-RER;ARCUEIL-CACHAN;ARCUEIL-CACHAN;CHAMPS-ELYSEES-CLEMENCEAU;BLANCHE;SAINT-LAZARE;;REAUMUR-SEBASTOPOL;GARE DE L’EST;SEVRES-LECOURBE;CHATEAU-LANDON;CHATEAU-LANDON;;CONCORDE;LA MUETTE;DUROC;PLACE DES FETES;NOTRE-DAME-DE-LORETTE;SAINT-FRANÇOIS-XAVIER;SAINT-FRANÇOIS-XAVIER;
