Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris;Coordonnées;Latitude;Longitude
6;Métro;BIBLIOTHEQUE;11104474;14;;;;;Paris;13.0;48.829990199899186, 2.375747983215603;48.829990199899186;2.375747983215603
10;Métro;CHATELET;8350794;1;4;7;11.0;14.0;Paris;1.0;48.8601084, 2.3464367;48.8601084;2.3464367
15;Métro;BOBIGNY-PABLO PICASSO;6561327;5;;;;;Bobigny;;48.9063747711693, 2.4491899044793364;48.9063747711693;2.4491899044793364
17;Métro;GARE D'AUSTERLITZ;6318543;5;10;;;;Paris;13.0;48.8412453, 2.3663585;48.8412453;2.3663585
21;Métro;HAVRE-CAUMARTIN;5894982;3;9;;;;Paris;9.0;48.8736792, 2.3273189;48.8736792;2.3273189
23;Métro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;5616435;7;;;;;Aubervilliers;;48.90378388105197, 2.392221222535117;48.90378388105197;2.392221222535117
28;Métro;TROCADERO;5284134;6;9;;;;Paris;16.0;48.863045, 2.2871938;48.863045;2.2871938
31;Métro;OLYMPIADES;5214595;14;;;;;Paris;13.0;48.8270448, 2.3664175;48.8270448;2.3664175
36;Métro;STALINGRAD;4924583;2;5;7;;;Paris;19.0;48.8842416, 2.3670741;48.8842416;2.3670741
37;Métro;LA COURNEUVE-8 MAI 1945;4924444;7;;;;;La Courneuve;;48.92078596906289, 2.410598616469426;48.92078596906289;2.410598616469426
41;Métro;PONT DE NEUILLY;4809503;1;;;;;Neuilly Sur Seine;;48.88470820133096, 2.260515079251701;48.88470820133096;2.260515079251701
42;Métro;GAMBETTA;4796724;3;3bis;;;;Paris;20.0;48.8649327, 2.3980541;48.8649327;2.3980541
43;Métro;ESPLANADE DE LA DEFENSE;4708183;1;;;;;Puteaux;;48.88813847761218, 2.2497927690097654;48.88813847761218;2.2497927690097654
46;Métro;SAINT-PAUL;4295823;1;;;;;Paris;4.0;48.8553844, 2.3604068;48.8553844;2.3604068
47;Métro;CHARLES DE GAULLE-ETOILE;4291663;1;2;6;;;Paris;8.0;48.8744088, 2.295508;48.8744088;2.295508
3;Métro;GARE DE LYON;28640475;1;14;A;;;Paris;12.0;48.844381799999994, 2.374800096135297;48.844381799999994;2.374800096135297
57;Métro;LES SABLONS;3954920;1;;;;;Neuilly Sur Seine;;48.88101649749112, 2.272238940611057;48.88101649749112;2.272238940611057
12;Métro;BELLEVILLE;7314438;2;11;;;;Paris;10.0;48.8717265, 2.385085;48.8717265;2.385085
64;Métro;GABRIEL PERI;3790573;13;;;;;Asnières;;48.916382309922106, 2.2946851117025546;48.916382309922106;2.2946851117025546
32;Métro;OPERA;5193831;3;7;8;;;Paris;9.0;48.876019, 2.339962;48.876019;2.339962
65;Métro;SAINT-MICHEL;3747385;4;;;;;Paris;5.0;48.8532864, 2.3435081;48.8532864;2.3435081
58;Métro;SAINT-MANDE-TOURELLE;3944640;1;;;;;Saint Mandé;;48.846423077287035, 2.4187597866986716;48.846423077287035;2.4187597866986716
68;Métro;CROIX DE CHAVAUX;3729545;9;;;;;Montreuil;;48.85778351458649, 2.434538451473474;48.85778351458649;2.434538451473474
59;Métro;HOCHE;3928404;5;;;;;Pantin;;48.891228593203465, 2.4023521439004725;48.891228593203465;2.4023521439004725
69;Métro;MIROMESNIL;3647255;9;13;;;;Paris;8.0;48.873719, 2.3145029;48.873719;2.3145029
61;Métro;BERCY;3884212;6;14;;;;Paris;12.0;48.8367988, 2.380847;48.8367988;2.380847
4;Métro;MONTPARNASSE-BIENVENUE;20407224;4;6;12;13.0;;Paris;14.0;48.8439336, 2.3241027;48.8439336;2.3241027
75;Métro;CRIMEE;3543952;7;;;;;Paris;19.0;48.8908513, 2.3773681;48.8908513;2.3773681
70;Métro;DAUMESNIL;3634023;6;8;;;;Paris;12.0;48.8395922, 2.3962319;48.8395922;2.3962319
8;Métro;LES HALLES;10623876;4;;;;;Paris;1.0;48.8621801, 2.3458118;48.8621801;2.3458118
79;Métro;INVALIDES;3482080;8;13;;;;Paris;7.0;48.859683, 2.314484;48.859683;2.314484
74;Métro;SAINT-DENIS-UNIVERSITE;3569990;13;;;;;Saint Denis;;48.94586727214251, 2.3646364825042263;48.94586727214251;2.3646364825042263
14;Métro;PLACE D'ITALIE;7119097;5;6;7;;;Paris;13.0;48.8309446, 2.3558932;48.8309446;2.3558932
81;Métro;PERE LACHAISE;3465307;2;3;;;;Paris;20.0;48.861129649999995, 2.394008682270477;48.861129649999995;2.394008682270477
95;Métro;BALARD;3236801;8;;;;;Paris;15.0;48.8363968, 2.278379;48.8363968;2.278379
16;Métro;STRASBOURG-SAINT-DENIS;6345770;4;8;9;;;Paris;2.0;48.8693002, 2.3542855;48.8693002;2.3542855
82;Métro;VOLTAIRE;3454006;9;;;;;Paris;11.0;48.8581794, 2.3798223;48.8581794;2.3798223
97;Métro;PEREIRE;3130190;3;;;;;Paris;17.0;48.8848183, 2.298274;48.8848183;2.298274
22;Métro;CHATEAU ROUGE;5841122;4;;;;;Paris;18.0;48.8872884, 2.3495532;48.8872884;2.3495532
91;Métro;SAINT-DENIS-PORTE DE PARIS;3355836;13;;;;;Saint Denis;;48.92981642738063, 2.3572920708824574;48.92981642738063;2.3572920708824574
102;Métro;CHARLES MICHELS;3079569;10;;;;;Paris;15.0;48.84647, 2.2858803;48.84647;2.2858803
